settlement_id,settlement_month,fintech_id,fintech_name,platform_type,total_transactions,gross_volume_zar,merchant_fees_zar,interchange_fees_zar,net_settlement_zar,avg_transaction_zar,chargebacks_count,chargeback_ratio_pct,new_merchants_onboarded,active_merchants,failed_transactions,failure_rate_pct
FS-2024-01-FT001,2024-01-31,FT001,Yoco,POS Card Acquiring,804298,688800807.2,20319623.81,13776016.14,654705167.25,854.41,1045,0.13,1789,247300,8042,1.0
FS-2024-02-FT001,2024-02-29,FT001,Yoco,POS Card Acquiring,755765,647237146.0,19093495.81,12944742.92,615198907.27,856.56,982,0.13,1402,249150,7557,1.0
FS-2024-03-FT001,2024-03-31,FT001,Yoco,POS Card Acquiring,874096,748575814.4,22082986.52,14971516.29,711521311.59,855.58,1136,0.13,1680,251000,8740,1.0
FS-2024-04-FT001,2024-04-30,FT001,Yoco,POS Card Acquiring,897773,768852797.2,22681157.52,15377055.94,730794583.74,857.51,1167,0.13,1806,252850,8977,1.0
FS-2024-05-FT001,2024-05-31,FT001,Yoco,POS Card Acquiring,782293,669955725.2,19763693.89,13399114.5,636792916.81,854.73,1016,0.13,1524,254700,7822,1.0
FS-2024-06-FT001,2024-06-30,FT001,Yoco,POS Card Acquiring,755732,647208884.8,19092662.1,12944177.7,615172045.0,856.85,982,0.13,1592,256550,7557,1.0
FS-2024-07-FT001,2024-07-31,FT001,Yoco,POS Card Acquiring,883836,756917150.4,22329055.94,15138343.01,719449751.45,855.0,1148,0.13,1688,258400,8838,1.0
FS-2024-08-FT001,2024-08-31,FT001,Yoco,POS Card Acquiring,922211,789781500.4,23298554.26,15795630.01,750687316.13,855.56,1198,0.13,2069,260250,9222,1.0
FS-2024-09-FT001,2024-09-30,FT001,Yoco,POS Card Acquiring,819530,701845492.0,20704442.01,14036909.84,667104140.15,855.25,1065,0.13,1832,262100,8195,1.0
FS-2024-10-FT001,2024-10-31,FT001,Yoco,POS Card Acquiring,959757,821935894.8,24247108.9,16438717.9,781250068.0,857.8,1247,0.13,1812,263950,9597,1.0
FS-2024-11-FT001,2024-11-30,FT001,Yoco,POS Card Acquiring,1235257,1057874094.8,31207285.8,21157481.9,1005509327.1,858.15,1605,0.13,2349,265800,12352,1.0
FS-2024-12-FT001,2024-12-31,FT001,Yoco,POS Card Acquiring,1490206,1276212418.4,37648266.34,25524248.37,1213039903.69,857.11,1937,0.13,2883,267650,14902,1.0
FS-2024-01-FT002,2024-01-31,FT002,SnapScan,QR Code Payment,288819,98256223.8,2702046.15,1965124.48,93589053.17,341.93,433,0.15,502,79240,2888,1.0
FS-2024-02-FT002,2024-02-29,FT002,SnapScan,QR Code Payment,259325,88222365.0,2426115.04,1764447.3,84031802.66,341.39,388,0.15,446,79790,2593,1.0
FS-2024-03-FT002,2024-03-31,FT002,SnapScan,QR Code Payment,303396,103215319.2,2838421.28,2064306.38,98312591.54,340.67,455,0.15,475,80340,3033,1.0
FS-2024-04-FT002,2024-04-30,FT002,SnapScan,QR Code Payment,313455,106637391.0,2932528.25,2132747.82,101572114.93,340.45,470,0.15,484,80890,3134,1.0
FS-2024-05-FT002,2024-05-31,FT002,SnapScan,QR Code Payment,275923,93869004.6,2581397.63,1877380.09,89410226.88,339.18,413,0.15,433,81440,2759,1.0
FS-2024-06-FT002,2024-06-30,FT002,SnapScan,QR Code Payment,275185,93617937.0,2574493.27,1872358.74,89171084.99,339.65,412,0.15,416,81990,2751,1.0
FS-2024-07-FT002,2024-07-31,FT002,SnapScan,QR Code Payment,318461,108340432.2,2979361.89,2166808.64,103194261.67,339.57,477,0.15,495,82540,3184,1.0
FS-2024-08-FT002,2024-08-31,FT002,SnapScan,QR Code Payment,338744,115240708.8,3169119.49,2304814.18,109766775.13,339.87,508,0.15,576,83090,3387,1.0
