alert_id,alert_date,customer_id,account_id,transaction_id,fraud_type,alert_source,risk_score,alert_priority,loss_amount,recovery_amount,net_loss,alert_status,days_to_resolve,analyst_id
a3e791d3-a5b7-49b1-8f7a-7405152974ee,2023-02-27,e1fe6d61-a613-458f-a563-89664c94c4c8,4eca0497-00f0-49d1-9b08-220eb616fcbd,8d679e48-bab8-4cb0-9ea7-991680d33d86,Identity Fraud,Rules Engine,57,Medium,44203.99,8415.9,35788.09,Confirmed Fraud,27,ANL652
1f156d39-4f42-46a7-b6d6-39ae468a71bd,2023-05-07,a067f2ef-5014-4e93-ba76-85c2c7807493,0f0e1661-c7dd-4f21-a253-7b751f613de7,32d27d18-d8bf-41e8-bac3-21e133c09d9d,Phishing,Rules Engine,79,High,44150.43,700.46,43449.97,Confirmed Fraud,25,ANL674
83488efb-a451-4847-ba61-4c9e50ba4666,2016-05-26,9fae9dde-abd5-48cd-90df-e0d091beca4e,5aeea584-3c89-4dbf-bdc2-248b24dc0c23,6abf83fa-dea6-415f-8e2e-db7334cc0451,Identity Fraud,ML Model,50,Medium,0.0,0.0,0.0,Under Investigation,0,ANL630
d03eec25-32a4-4634-8a12-78f0695b38a8,2021-08-08,9a189484-cd9f-435c-b424-c12d0a715eb2,5d4df3a3-420b-4f1f-8676-c915f882f32d,09b67526-96ce-42f5-a706-c5133542e29c,Other,Rules Engine,73,High,0.0,0.0,0.0,Open,0,ANL792
6f70606b-67fd-41f9-83c3-80cecfa457bc,2020-05-22,92c7a67a-0282-45bd-b9e5-b0c203b7dba1,0af9a7ed-0b0f-4c2c-83dd-6463e5dc9a73,88899177-3d17-4a99-b9b6-d8288d90918c,Card Not Present,Rules Engine,55,Medium,0.0,0.0,0.0,Closed,6,ANL782
9d3b2538-f57e-4f01-ab80-a69b2aa8d1c5,2022-02-02,c98d4345-9fd8-44fd-b17d-78cba466d63c,199fc55c-040a-4422-82b2-ea48bcd49d87,a8c8416c-2738-497a-bf61-d2d3a3b6145d,Card Not Present,Rules Engine,1,Low,0.0,0.0,0.0,Under Investigation,0,ANL278
7b316068-bd77-47b4-86c2-ec11e633dff7,2023-05-31,58b6ea81-b316-4f19-a7eb-6ad8b9be5b12,d804a65d-0427-41ad-882b-3ff9a511629a,4b1ae32e-b580-43b1-9d54-c9b1566b3796,Card Not Present,Customer Report,61,Medium,0.0,0.0,0.0,Closed,44,ANL662
a19aab1f-ccb5-4d28-984d-05ba131e167f,2023-02-27,b6d87c10-28ea-453a-9463-3da693da5073,34399c76-aff9-459e-8c62-d4885a04dd72,1983c334-b6c5-49d5-ad06-94b41c30efa3,Account Takeover,Customer Report,56,Medium,0.0,0.0,0.0,Closed,22,ANL498
22113ddf-2375-4c42-a870-68df3f8c7b74,2023-06-09,6a8419d0-42ff-4de5-a777-1a27ae772fa9,9a7276cb-35b8-40d3-9be4-87f809d4152d,2aa36ad4-b672-47f1-8fbe-f5218d81c203,Card Not Present,Rules Engine,53,Medium,0.0,0.0,0.0,Under Investigation,0,ANL420
dc5a116c-efec-4a23-afa6-3424e184a6b7,2016-08-16,d4dbe0ab-3cb7-4948-9463-d5e7e5690023,b9a2e436-4646-413a-baf6-340f3f9ab231,77debec1-8701-484d-94a1-22f00cc54561,Card Not Present,Rules Engine,18,Low,0.0,0.0,0.0,Under Investigation,0,ANL657
b2b59b3c-fc77-4cf4-9088-a2fdd97da069,2021-01-30,76b85659-01fe-405a-84a4-11f51d8dba1b,200536da-3c80-4e75-8129-5e0e2a49b7d5,9cc39720-fe2d-4e5c-9c35-1839fee23c43,Identity Fraud,Rules Engine,82,High,0.0,0.0,0.0,Closed,48,ANL984
5a9cf852-68dd-470d-a0f7-189da13b15c0,2023-12-01,82342e76-2880-4405-b49b-784e5cede8db,5c81b1bd-9dfe-4a26-903c-066c5f50e929,be6c46b0-2fdf-45ed-8275-1644267e0796,Card Not Present,Rules Engine,80,High,0.0,0.0,0.0,Closed,10,ANL566
a2960eea-0d64-4a86-9493-85bbfd34a8c1,2020-04-28,f7ab8165-8a52-4b8d-a059-75f1ff4b3fe3,42fd6454-d2cb-4eb4-b0e8-c79d19c37fa2,cfe0dcd3-41e9-401f-9d1a-d91c36105510,Internal Fraud,Rules Engine,17,Low,0.0,0.0,0.0,Open,0,ANL333
a7937b4b-6139-4193-a814-29fa8bad66dd,2022-05-08,e47078f3-ad8c-4911-9a05-d5760dcfd8a7,1f94977c-ee4f-47ff-9daa-65d00754d91a,8ab7f6d3-9578-447c-92d3-493d8d943a31,Card Not Present,Rules Engine,45,Medium,0.0,0.0,0.0,Closed,14,ANL873
05841d30-1c90-4d7e-83d6-0f2c247bf33d,2015-05-09,81d5c97c-f0ed-4d5e-b2dd-bb46d98a0f9f,8a06c1d8-ccdc-4b6a-a96e-bb894e08d42e,7ef297b9-e8d7-4bfb-982e-ca3881cbf6df,Other,Rules Engine,42,Medium,168957.15,53339.19,115617.96,Confirmed Fraud,84,ANL946
b078b776-fe10-43c4-aeb3-d25a9728392c,2021-01-24,f1584ac8-e703-493b-b684-5079521cb443,8e01ef9c-7f7a-44e9-8702-4a9a7f78653a,3217198c-1cf8-439b-b1dd-1cf2d133bb20,Card Not Present,ML Model,81,High,0.0,0.0,0.0,False Positive,30,ANL124
f6c5794f-8bae-4eac-a66d-ac9d8ff1398a,2015-05-18,ab89aa9f-66e2-4754-bec4-86f8d62d6503,80c51405-b024-45d8-a31d-77e7d67cbe67,fa7420fe-63b6-4215-b575-89bd10f361c6,Card Not Present,ML Model,68,High,0.0,0.0,0.0,False Positive,14,ANL180
