loan_id,loan_number,customer_id,account_id,loan_type,origination_date,maturity_date,term_months,original_amount,outstanding_balance,interest_rate,monthly_instalment,loan_status,days_past_due,arrears_amount,collateral_type,collateral_value,ltv_ratio,purpose,disbursement_date,next_payment_date,last_payment_date,last_payment_amount,provision_rate,origination_channel,origination_officer_id
80587292-5d38-421e-b828-37e7210ca4e3,PCB-LOAN-202009-694075,4cc4d7de-7b2c-4ab7-8528-3d9dd29117ff,fbfad17c-6e00-4b82-baa3-ee69a5fce256,Business Loan,2020-09-10,2024-08-20,48,530367.0,119477.0,0.1378,14434.6,Current,0,0.0,Property,1020434.1088414646,,Stock,2020-09-13,2023-08-26,2023-07-27,14760.83,0.0,Branch,OFC2212
5509de6d-a76e-424e-bc31-792153b448dd,PCB-LOAN-201804-771384,97ddac20-2ab1-412a-aa23-deabd20e4497,8fd4a71b-f5a9-4402-8203-5dcbcb3e2d8b,Vehicle Finance,2018-04-18,2024-03-17,72,100163.39,88085.91,0.113,1921.94,Current,0,0.0,Vehicle,114537.9,0.8745,Commercial Vehicle,2018-04-22,2018-06-17,2018-05-18,1998.31,0.0,Mobile,OFC1681
f61f7077-b339-4e0c-a253-e79da042c92b,PCB-LOAN-201907-799858,f4be94ff-f06b-46a4-8cba-1a36fadcbac4,9c219ddb-5da5-48b0-92a1-3bc7d177d20e,Vehicle Finance,2019-07-22,2023-07-01,48,360655.82,220810.79,0.1306,9686.24,Current,0,0.0,Vehicle,437476.73,0.8244,Commercial Vehicle,2019-07-25,2020-10-14,2020-09-14,10013.57,0.0,Branch,OFC7360
e9c7ac69-dae6-4783-a43b-313d5b7c913d,PCB-LOAN-201807-983418,a254cce0-f0f6-4979-bc16-bdd50b601ff9,6aa9866e-5efd-426d-9c5d-9c457b3da0f3,Home Loan,2018-07-22,2038-04-08,240,2626458.22,813301.93,0.1196,28846.36,Current,0,0.0,Property,3067575.59,0.8562,Primary Residence,2018-07-27,2031-07-14,2031-06-14,29917.12,0.0,Online,OFC3986
d0b50f08-b966-48fa-84ba-de6f436614f7,PCB-LOAN-202211-898955,4036648a-b3d3-40a6-84a5-0e91c27de9a9,6e355bad-91fe-41fe-ba3d-7f850c33125c,Vehicle Finance,2022-11-12,2027-10-17,60,131181.93,62029.41,0.1567,3167.13,1-30 DPD,24,0.0,Vehicle,165948.05,0.7905,Boat,2022-11-14,2025-05-30,2025-04-30,3071.98,0.25,Broker,OFC2829
fb86d8f5-8f63-4c99-9bce-4bde47ca70d7,PCB-LOAN-202405-130590,3acebc57-2f2f-4565-9336-7b9605009e45,55e0075a-a469-496e-be56-a1e83e8fdeb5,Home Loan,2024-05-10,2034-03-19,120,2998764.97,573395.64,0.1033,40178.92,Current,0,0.0,Property,4820390.56,0.6221,Holiday Home,2024-05-12,2032-04-28,2032-03-29,40206.65,0.0,Branch,OFC3512
4536a9d4-09ad-4e83-ad30-43f4806d773b,PCB-LOAN-201902-309823,ca8927ca-2a48-4bdf-89d1-f61715f7f11b,33c3f765-9bf6-4cb5-a33c-f5f057363e74,Home Loan,2019-02-09,2038-10-27,240,2216445.85,644347.43,0.0904,19998.99,31-60 DPD,33,19998.99,Property,3122194.46,0.7099,Holiday Home,2019-02-12,2032-08-29,2032-07-30,20868.92,0.5,Branch,OFC8756
9df191a6-de7c-4e4d-9c9e-783a46c045e6,PCB-LOAN-202105-457513,02523414-87f6-4817-8cf2-297f40600402,82fa8ab9-24e2-490b-bacc-e9c122ee0ff1,Business Loan,2021-05-19,2022-05-14,12,710472.0,326340.96,0.1388,63751.13,Current,0,0.0,Property,726896.5732532035,,Equipment,2021-05-23,2021-11-15,2021-10-16,61091.35,0.0,Branch,OFC3665
e4f67e78-b048-4773-85d0-75a5940d7628,PCB-LOAN-201810-785981,5f07ee40-578a-4751-985d-4e36af164992,78a218ef-f8f6-496f-903b-dfa91c2ba2f4,Vehicle Finance,2018-10-28,2022-10-07,48,449643.16,240056.55,0.1072,11560.22,61-90 DPD,85,23120.44,Vehicle,538043.75,0.8357,Private Vehicle,2018-10-29,2020-06-19,2020-05-20,10993.43,0.75,Mobile,OFC1417
8c7f1f8e-31df-4faf-a843-76a2067fac8e,PCB-LOAN-201805-392054,ed2c3419-2ef1-452c-ab3b-5b1419839625,c56c1a28-6fe5-4ebc-bdae-d84c7e59ec04,Home Loan,2018-05-27,2043-01-16,300,1982132.05,1171536.86,0.1177,20540.21,Current,0,0.0,Property,2393590.21,0.8281,Land Purchase,2018-05-29,2026-05-15,2026-04-15,19841.27,0.0,Broker,OFC1157
