portfolio_id,ticker,units,avg_cost_cents,last_price_cents,market_value_zar,valuation_date
PF00001,FSR,131925.4151,7224.08,9387.31,12384247.69,2026-07-31
PF00001,EXX,69548.4281,18278.94,21952.49,15267611.73,2026-07-31
PF00001,RDF,129594.1212,578.43,611.54,792519.89,2026-07-31
PF00001,GRT,49066.4838,1712.27,1796.04,881253.68,2026-07-31
PF00001,R2040,5827.184,9079.67,9013.75,525247.79,2026-07-31
PF00001,ASHGEQ,89681.2036,7641.6,9654.93,8658657.43,2026-07-31
PF00001,MMKT,1339982.2803,104.33,105.93,1419443.23,2026-07-31
PF00002,OMU,50445.9262,1247.07,1573.35,793690.98,2026-07-31
PF00002,REM,4744.8594,18933.07,21071.22,999799.77,2026-07-31
PF00002,CFR,3958.871,23091.95,25322.59,1002488.66,2026-07-31
PF00002,VOD,6238.7431,9101.46,9969.52,621972.75,2026-07-31
PF00002,NED,2118.8917,28753.4,31885.01,675608.83,2026-07-31
PF00002,APN,3165.3197,17411.95,22726.43,719364.16,2026-07-31
PF00002,BVT,3011.174,28189.94,26627.01,801785.6,2026-07-31
PF00002,RDF,318735.0082,445.79,611.54,1949192.07,2026-07-31
PF00002,R186,93594.7983,8644.34,11088.39,10378156.25,2026-07-31
PF00002,R2032,89485.1473,10344.25,10184.61,9113713.26,2026-07-31
PF00002,STXWDM,35393.1382,9661.06,12426.7,4398199.11,2026-07-31
PF00002,MMKT,8168729.2107,94.72,105.93,8653134.85,2026-07-31
PF00003,R2035,8403.2121,7303.39,8746.3,734970.14,2026-07-31
PF00003,MMKT,8335151.8793,93.19,105.93,8829426.39,2026-07-31
PF00004,SLM,1246.3606,9976.79,9455.43,117848.76,2026-07-31
PF00004,VOD,1089.4549,7187.04,9969.52,108613.42,2026-07-31
PF00004,APN,386.0102,20451.0,22726.43,87726.33,2026-07-31
PF00004,SSW,3051.906,3410.88,3350.29,102247.7,2026-07-31
PF00004,REM,528.7248,19066.49,21071.22,111408.76,2026-07-31
PF00004,DSY,685.4719,16933.0,16065.56,110124.89,2026-07-31
PF00004,RDF,19484.3749,596.47,611.54,119154.75,2026-07-31
PF00004,GRT,5160.1828,1494.4,1796.04,92678.95,2026-07-31
PF00004,R2030,5694.6455,10171.57,10784.05,614113.42,2026-07-31
PF00004,R186,4703.5984,10775.52,11088.39,521553.33,2026-07-31
PF00004,R2032,6684.0162,10527.65,10184.61,680740.98,2026-07-31
PF00004,ASHGEQ,1440.3681,8990.94,9654.93,139066.53,2026-07-31
PF00004,STX500,1106.3569,13129.13,14391.01,159215.94,2026-07-31
PF00004,STXWDM,1159.5399,11797.91,12426.7,144092.55,2026-07-31
PF00004,MMKT,692911.1694,90.56,105.93,734000.8,2026-07-31
PF00005,R2035,3911.7,7893.98,8746.3,342129.02,2026-07-31
PF00005,MMKT,2458513.7018,79.68,105.93,2604303.56,2026-07-31
PF00006,STX40,44668.5829,9345.99,10102.33,4512567.65,2026-07-31
PF00006,EXX,14381.3452,20068.44,21952.49,3157063.36,2026-07-31
PF00006,SOL,30317.6116,8632.69,10313.55,3126822.03,2026-07-31
PF00006,ABG,22661.5178,20752.7,21379.43,4844903.33,2026-07-31
