trade_id,portfolio_id,ticker,trade_date,side,units,price_cents,gross_value_zar,brokerage_zar,reason
TRD0000001,PF00001,FSR,2023-02-19,BUY,1490.747,6931.63,103333.07,361.67,Cash flow
TRD0000002,PF00002,NED,2017-10-23,SELL,2051.9948,24486.19,502455.35,1758.59,Rebalance
TRD0000003,PF00002,REM,2022-08-29,BUY,1817.9685,14033.65,255127.34,892.95,Cash flow
TRD0000004,PF00002,NED,2026-01-30,BUY,1763.5573,26464.79,466721.74,1633.53,Rebalance
TRD0000005,PF00002,VOD,2022-08-11,BUY,1200.7527,10525.7,126387.63,442.36,Rebalance
TRD0000006,PF00002,REM,2023-04-06,BUY,3672.0248,14033.65,515319.11,1803.62,Client instruction
TRD0000007,PF00002,NED,2021-01-02,SELL,2687.8241,24486.19,658145.72,2303.51,Model change
TRD0000008,PF00002,BVT,2016-09-25,SELL,2966.8329,27107.43,804232.15,2814.81,Client instruction
TRD0000009,PF00003,R2035,2022-03-07,BUY,352.7441,8694.78,30670.32,107.35,Model change
TRD0000010,PF00003,MMKT,2024-07-14,BUY,453.2702,100.06,453.54,1.59,Model change
TRD0000011,PF00003,R2035,2026-07-02,SELL,3772.9261,8525.93,321677.04,1125.87,Rebalance
TRD0000012,PF00004,ASHGEQ,2018-11-03,SELL,1710.1443,7372.81,126085.69,441.3,Cash flow
TRD0000013,PF00004,DSY,2023-07-06,BUY,2917.0778,17134.78,499834.86,1749.42,Rebalance
TRD0000014,PF00004,R2030,2020-06-11,BUY,3828.649,9431.05,361081.8,1263.79,Cash flow
TRD0000015,PF00004,RDF,2025-01-11,SELL,3814.6212,460.47,17565.19,61.48,Model change
TRD0000016,PF00004,STXWDM,2022-05-01,SELL,2964.1312,9827.33,291294.95,1019.53,Client instruction
TRD0000017,PF00005,R2035,2024-02-04,BUY,1124.6885,8694.78,97789.19,342.26,Model change
TRD0000018,PF00005,R2035,2025-10-10,SELL,3274.178,8694.78,284682.57,996.39,Client instruction
TRD0000019,PF00005,MMKT,2025-11-15,SELL,1388.2399,100.13,1390.04,4.87,Model change
TRD0000020,PF00005,MMKT,2024-10-29,BUY,2214.6605,100.06,2215.99,7.76,Rebalance
TRD0000021,PF00005,R2035,2025-12-02,BUY,235.061,8681.53,20406.89,71.42,Rebalance
TRD0000022,PF00005,R2035,2024-05-18,SELL,375.939,8694.78,32687.07,114.4,Cash flow
TRD0000023,PF00005,R2035,2026-04-23,SELL,2440.2686,8262.77,201633.78,705.72,Model change
TRD0000024,PF00006,EXX,2026-06-09,SELL,340.1519,19554.46,66514.87,232.8,Cash flow
TRD0000025,PF00006,R2035,2024-11-28,BUY,3451.4989,8694.78,300100.24,1050.35,Client instruction
TRD0000026,PF00006,EXX,2025-01-29,BUY,2864.6816,15968.73,457453.27,1601.09,Cash flow
TRD0000027,PF00006,R2035,2024-12-21,BUY,3401.3431,8694.78,295739.3,1035.09,Model change
TRD0000028,PF00006,STX40,2026-06-05,BUY,1849.6893,9567.92,176976.79,619.42,Model change
TRD0000029,PF00007,ASHGEQ,2025-11-28,BUY,792.8256,7495.92,59429.57,208.0,Model change
TRD0000030,PF00007,MMKT,2024-10-04,SELL,1255.3882,100.06,1256.14,4.4,Model change
TRD0000031,PF00007,CFR,2024-11-13,BUY,807.6799,25898.78,209179.24,732.13,Client instruction
TRD0000032,PF00007,RDF,2026-04-26,BUY,87.5318,499.94,437.61,1.53,Cash flow
TRD0000033,PF00008,R2032,2018-10-04,BUY,2614.1152,9138.12,238880.98,836.08,Client instruction
TRD0000034,PF00008,ASHGEQ,2021-07-28,BUY,1374.7063,7372.81,101354.48,354.74,Model change
TRD0000035,PF00008,RDF,2022-08-24,BUY,2912.3398,460.47,13410.45,46.94,Client instruction
TRD0000036,PF00008,R2032,2021-08-20,BUY,929.4536,9138.12,84934.59,297.27,Cash flow
TRD0000037,PF00009,BHG,2024-12-22,SELL,3572.7144,5003.75,178769.7,625.69,Cash flow
TRD0000038,PF00009,STX500,2025-02-11,BUY,685.4719,12326.35,84493.67,295.73,Rebalance
TRD0000039,PF00010,BVT,2024-04-03,SELL,3869.0994,27107.43,1048813.41,3670.85,Client instruction
TRD0000040,PF00010,BVT,2026-05-09,BUY,1143.0848,24677.3,282082.47,987.29,Rebalance
TRD0000041,PF00010,STX500,2025-01-01,SELL,2244.3912,12326.35,276651.51,968.28,Rebalance
TRD0000042,PF00010,MTN,2023-11-12,SELL,2568.5432,9661.86,248169.05,868.59,Rebalance
TRD0000043,PF00010,R2030,2026-07-06,BUY,2667.9169,10778.69,287566.49,1006.48,Rebalance
TRD0000044,PF00010,MTN,2023-05-04,BUY,3688.2583,9661.86,356354.35,1247.24,Client instruction
TRD0000045,PF00010,BVT,2026-06-11,BUY,1260.6614,25425.02,320523.41,1121.83,Client instruction
TRD0000046,PF00011,MMKT,2024-01-27,SELL,259.5661,100.06,259.72,0.91,Client instruction
TRD0000047,PF00011,BHG,2022-01-16,BUY,3513.3866,5003.75,175801.08,615.3,Cash flow
TRD0000048,PF00012,RDF,2023-09-04,BUY,2760.5899,460.47,12711.69,44.49,Cash flow
TRD0000049,PF00012,BVT,2024-10-05,SELL,3013.2318,27107.43,816809.7,2858.83,Rebalance
TRD0000050,PF00012,STXCLR,2020-02-17,BUY,2443.2654,5657.93,138238.25,483.83,Rebalance
TRD0000051,PF00012,R186,2021-06-19,BUY,2148.0404,10815.32,232317.44,813.11,Model change
TRD0000052,PF00012,DSY,2023-12-03,BUY,3113.9616,17134.78,533570.47,1867.5,Client instruction
TRD0000053,PF00012,RDF,2021-07-27,BUY,2171.65,460.47,9999.8,35.0,Cash flow
TRD0000054,PF00012,DSY,2020-06-11,BUY,134.2411,17134.78,23001.92,80.51,Model change
TRD0000055,PF00012,BVT,2021-08-26,BUY,2501.5606,27107.43,678108.79,2373.38,Model change
TRD0000056,PF00013,MMKT,2023-12-17,BUY,2803.9452,100.06,2805.63,9.82,Rebalance
TRD0000057,PF00013,STX500,2021-04-30,SELL,972.1601,12326.35,119831.86,419.41,Client instruction
TRD0000058,PF00013,MMKT,2023-06-19,BUY,1083.8937,100.06,1084.54,3.8,Rebalance
TRD0000059,PF00013,STXWDM,2021-06-27,BUY,1695.822,9827.33,166654.02,583.29,Rebalance
TRD0000060,PF00013,MMKT,2023-05-22,SELL,3313.1776,100.06,3315.17,11.6,Client instruction
TRD0000061,PF00013,ABG,2021-04-15,BUY,1567.5016,16930.75,265389.78,928.86,Client instruction
TRD0000062,PF00013,R2035,2023-03-21,SELL,561.892,8694.78,48855.27,170.99,Cash flow
TRD0000063,PF00013,ASHGEQ,2025-01-23,SELL,505.5468,7372.81,37273.01,130.46,Client instruction
TRD0000064,PF00013,MMKT,2022-12-22,BUY,161.2881,100.06,161.38,0.56,Client instruction
TRD0000065,PF00014,NED,2026-05-21,SELL,2865.4226,30662.53,878611.06,3075.14,Client instruction
TRD0000066,PF00014,AGL,2021-05-15,BUY,3673.2767,5700.05,209378.61,732.83,Rebalance
TRD0000067,PF00014,ASHGEQ,2023-07-12,SELL,1036.9714,7372.81,76453.93,267.59,Model change
TRD0000068,PF00014,FSR,2024-01-22,SELL,3305.0134,6931.63,229091.3,801.82,Cash flow
TRD0000069,PF00014,R2040,2022-01-18,BUY,488.5515,8277.83,40441.46,141.55,Client instruction
TRD0000070,PF00014,RDF,2024-07-20,BUY,414.5668,460.47,1908.96,6.68,Cash flow
TRD0000071,PF00014,RDF,2024-01-30,SELL,1131.9044,460.47,5212.08,18.24,Client instruction
TRD0000072,PF00014,INL,2023-10-31,SELL,3237.3308,12852.27,416070.5,1456.25,Rebalance
TRD0000073,PF00015,R2030,2024-10-31,BUY,1010.3416,9431.05,95285.82,333.5,Rebalance
TRD0000074,PF00015,R2040,2018-08-08,BUY,1629.1019,8277.83,134854.29,471.99,Rebalance
TRD0000075,PF00015,STX40,2020-09-09,BUY,908.0162,8620.53,78275.81,273.97,Model change
TRD0000076,PF00015,EXX,2025-12-03,BUY,904.6956,18690.4,169091.23,591.82,Client instruction
TRD0000077,PF00016,MMKT,2023-06-26,SELL,1503.2673,100.06,1504.17,5.26,Model change
TRD0000078,PF00016,RDF,2024-07-26,BUY,3809.1901,460.47,17540.18,61.39,Rebalance
TRD0000079,PF00016,MMKT,2025-07-11,SELL,3309.2074,100.06,3311.19,11.59,Cash flow
TRD0000080,PF00016,MMKT,2024-07-22,SELL,1720.9375,100.06,1721.97,6.03,Rebalance
TRD0000081,PF00016,VOD,2023-02-04,BUY,1275.4802,10525.7,134253.22,469.89,Cash flow
TRD0000082,PF00016,ASHGEQ,2018-10-04,BUY,1551.6549,7372.81,114400.57,400.4,Rebalance
TRD0000083,PF00016,RDF,2021-06-02,BUY,1238.1798,460.47,5701.45,19.96,Model change
TRD0000084,PF00016,STXWDM,2023-03-30,BUY,3290.7615,9827.33,323393.99,1131.88,Client instruction
TRD0000085,PF00016,VOD,2018-03-28,BUY,1157.4712,10525.7,121831.95,426.41,Cash flow
TRD0000086,PF00017,ASHGEQ,2023-02-24,SELL,2728.5525,7372.81,201170.99,704.1,Client instruction
TRD0000087,PF00017,ASHGEQ,2022-09-06,BUY,3237.3749,7372.81,238685.5,835.4,Rebalance
TRD0000088,PF00017,WHL,2025-07-28,BUY,2196.4977,6086.99,133700.6,467.95,Rebalance
TRD0000089,PF00017,STXWDM,2020-11-01,SELL,1809.5658,9827.33,177832.0,622.41,Client instruction
TRD0000090,PF00018,R2035,2025-12-16,SELL,2017.4779,8660.82,174730.13,611.56,Cash flow
TRD0000091,PF00018,STXWDM,2024-10-02,BUY,1026.3008,9827.33,100857.97,353.0,Model change
TRD0000092,PF00018,STXWDM,2025-08-10,BUY,342.6634,9827.33,33674.66,117.86,Client instruction
TRD0000093,PF00018,OMU,2026-03-11,BUY,2926.2591,1164.79,34084.77,119.3,Model change
TRD0000094,PF00018,SHP,2025-11-23,BUY,218.0906,27437.25,59838.06,209.43,Client instruction
TRD0000095,PF00018,R2032,2023-07-11,SELL,3023.2448,9138.12,276267.74,966.94,Cash flow
TRD0000096,PF00018,STXWDM,2024-10-17,BUY,3444.2891,9827.33,338481.66,1184.69,Cash flow
TRD0000097,PF00019,R2035,2019-08-11,SELL,804.9628,8694.78,69989.74,244.96,Cash flow
TRD0000098,PF00019,MMKT,2024-01-30,SELL,3929.1475,100.06,3931.5,13.76,Cash flow
TRD0000099,PF00019,R2040,2024-03-27,BUY,1258.4476,8277.83,104172.15,364.6,Client instruction
TRD0000100,PF00019,R2040,2024-01-29,BUY,2307.7541,8277.83,191031.96,668.61,Rebalance
TRD0000101,PF00019,R2040,2019-09-11,BUY,3601.7605,8277.83,298147.61,1043.52,Client instruction
TRD0000102,PF00019,R2040,2023-08-21,BUY,410.6656,8277.83,33994.2,118.98,Rebalance
TRD0000103,PF00019,R2035,2023-04-25,SELL,220.1857,8694.78,19144.66,67.01,Rebalance
TRD0000104,PF00019,R2040,2021-11-12,SELL,3902.7538,8277.83,323063.32,1130.72,Model change
TRD0000105,PF00020,CFR,2025-08-04,BUY,129.3284,25898.78,33494.48,117.23,Rebalance
TRD0000106,PF00020,RDF,2023-07-05,SELL,392.9491,460.47,1809.41,6.33,Model change
TRD0000107,PF00020,RDF,2024-05-11,SELL,1028.115,460.47,4734.16,16.57,Rebalance
TRD0000108,PF00021,RDF,2024-07-10,BUY,570.1926,460.47,2625.57,9.19,Client instruction
TRD0000109,PF00021,STX500,2019-12-14,BUY,1442.0539,12326.35,177752.61,622.13,Client instruction
TRD0000110,PF00021,PRX,2025-10-17,BUY,168.4872,1157.05,1949.48,6.82,Client instruction
TRD0000111,PF00022,BHG,2023-06-18,SELL,876.764,5003.75,43871.08,153.55,Model change
TRD0000112,PF00022,RDF,2023-05-18,BUY,199.0214,460.47,916.43,3.21,Cash flow
TRD0000113,PF00023,R2035,2024-03-09,BUY,3198.9596,8694.78,278142.5,973.5,Model change
TRD0000114,PF00023,MMKT,2026-01-16,BUY,2263.7633,101.18,2290.48,8.02,Model change
TRD0000115,PF00023,R2035,2026-04-16,BUY,3194.6999,8325.9,265987.52,930.96,Rebalance
TRD0000116,PF00023,R2032,2024-06-30,SELL,627.3621,9138.12,57329.1,200.65,Rebalance
TRD0000117,PF00023,MMKT,2024-06-20,SELL,1332.5863,100.06,1333.39,4.67,Model change
TRD0000118,PF00023,R2032,2023-07-12,BUY,3044.4061,9138.12,278201.48,973.71,Model change
TRD0000119,PF00023,R2035,2024-09-06,BUY,119.8472,8694.78,10420.45,36.47,Rebalance
TRD0000120,PF00024,STX500,2025-07-14,SELL,2360.9919,12326.35,291024.13,1018.58,Cash flow
TRD0000121,PF00024,NPN,2017-06-21,BUY,1355.3619,3469.27,47021.16,164.57,Model change
TRD0000122,PF00024,MMKT,2024-11-09,SELL,1061.8459,100.06,1062.48,3.72,Rebalance
TRD0000123,PF00024,STXCLR,2022-10-25,BUY,3434.1718,5657.93,194303.04,680.06,Rebalance
TRD0000124,PF00024,R2035,2017-11-27,SELL,3399.5988,8694.78,295587.64,1034.56,Rebalance
