portfolio_id,customer_id,mandate,risk_profile,account_type,benchmark,currency,inception_date,adviser_id,province,reg28_regulated,fee_bps,market_value_zar
PF00001,CUST486253,Aggressive Equity,Aggressive,Retirement Annuity,SWIX,ZAR,2015-03-16,ADV006,Western Cape,1,120,34827952.29
PF00002,CUST094089,Conservative Income,Conservative,Pension Fund,ALBI,ZAR,2016-08-17,ADV008,Gauteng,1,70,40961003.55
PF00003,CUST140694,Money Market,Conservative,Retirement Annuity,STeFI,ZAR,2021-07-09,ADV014,KwaZulu-Natal,1,35,7960090.18
PF00004,CUST405975,Conservative Income,Conservative,Living Annuity,ALBI,ZAR,2016-01-24,ADV022,Gauteng,1,70,4499040.01
PF00005,CUST405962,Money Market,Conservative,Retirement Annuity,STeFI,ZAR,2023-12-20,ADV026,Gauteng,1,35,3044467.11
PF00006,CUST404492,Conservative Income,Conservative,Pension Fund,ALBI,ZAR,2024-02-11,ADV019,Gauteng,1,70,115101000.39
PF00007,CUST413830,Property Focus,Moderate,Living Annuity,SAPY,ZAR,2022-06-17,ADV005,Gauteng,0,100,14531435.48
PF00008,CUST494483,Conservative Income,Conservative,Living Annuity,ALBI,ZAR,2018-01-12,ADV015,Western Cape,1,70,2026788.21
PF00009,CUST312630,Balanced Growth,Moderate,Retirement Annuity,ALSI,ZAR,2023-03-22,ADV027,North West,1,95,19728676.27
PF00010,CUST386938,Offshore Feeder,Aggressive,Retirement Annuity,MSCI World,ZAR,2023-04-17,ADV014,KwaZulu-Natal,1,105,24415048.72
PF00011,CUST405548,Offshore Feeder,Aggressive,Pension Fund,MSCI World,ZAR,2020-06-13,ADV007,Gauteng,1,105,55118846.83
PF00012,CUST062272,Conservative Income,Conservative,Living Annuity,ALBI,ZAR,2019-04-27,ADV028,Western Cape,1,70,4044542.66
PF00013,CUST054081,Property Focus,Moderate,Pension Fund,SAPY,ZAR,2021-03-28,ADV018,Mpumalanga,1,100,61632901.82
PF00014,CUST431466,Aggressive Equity,Aggressive,Pension Fund,SWIX,ZAR,2021-05-01,ADV024,Gauteng,1,120,1383865.04
PF00015,CUST404488,Absolute Return,Moderate,Pension Fund,STeFI + 4%,ZAR,2015-06-30,ADV011,Gauteng,1,110,11887399.27
PF00016,CUST134918,Conservative Income,Conservative,Discretionary,ALBI,ZAR,2017-04-27,ADV022,Western Cape,1,70,49412783.88
PF00017,CUST135517,Offshore Feeder,Aggressive,Living Annuity,MSCI World,ZAR,2018-10-09,ADV025,Gauteng,0,105,6533413.18
PF00018,CUST192956,Conservative Income,Conservative,Discretionary,ALBI,ZAR,2022-12-07,ADV028,Western Cape,1,70,3945985.34
PF00019,CUST357139,Money Market,Conservative,Tax-Free Savings,STeFI,ZAR,2016-07-07,ADV008,Gauteng,0,35,4880610.54
PF00020,CUST258239,Aggressive Equity,Aggressive,Living Annuity,SWIX,ZAR,2021-11-28,ADV026,Gauteng,1,120,25295451.43
PF00021,CUST279762,Balanced Growth,Moderate,Discretionary,ALSI,ZAR,2018-10-25,ADV011,Western Cape,1,95,804069.1
PF00022,CUST336287,Balanced Growth,Moderate,Discretionary,ALSI,ZAR,2017-10-06,ADV025,Free State,1,95,9206421.23
PF00023,CUST295007,Money Market,Conservative,Living Annuity,STeFI,ZAR,2022-05-29,ADV028,KwaZulu-Natal,0,35,5187631.49
PF00024,CUST297941,Property Focus,Moderate,Discretionary,SAPY,ZAR,2016-12-25,ADV028,Mpumalanga,0,100,29098112.62
PF00025,CUST211642,Offshore Feeder,Aggressive,Discretionary,MSCI World,ZAR,2017-10-17,ADV025,Gauteng,0,105,19223054.85
PF00026,CUST057476,Money Market,Conservative,Tax-Free Savings,STeFI,ZAR,2016-03-12,ADV025,Gauteng,0,35,29040582.35
PF00027,CUST268596,Conservative Income,Conservative,Retirement Annuity,ALBI,ZAR,2017-12-23,ADV026,North West,1,70,24429743.8
PF00028,CUST146058,Absolute Return,Moderate,Endowment,STeFI + 4%,ZAR,2022-02-10,ADV017,Western Cape,1,110,613799.34
PF00029,CUST319767,Money Market,Conservative,Discretionary,STeFI,ZAR,2023-07-07,ADV016,Western Cape,0,35,4168492.7
PF00030,CUST119889,Property Focus,Moderate,Tax-Free Savings,SAPY,ZAR,2016-11-26,ADV015,Mpumalanga,0,100,14480138.96
PF00031,CUST452317,Property Focus,Moderate,Discretionary,SAPY,ZAR,2016-11-20,ADV010,Gauteng,0,100,114876272.42
